Benchmark Set,Instance Name,Best Known Solution,Relaxed Bound,Optimality Gap (%),Bound From
OhlmannThomas,n150w140.003.txt,613,608.5,0.73,Baldacci et al. (2012)
OhlmannThomas,n150w140.004.txt,676,*,*,Baldacci et al. (2012)
OhlmannThomas,n150w140.005.txt,663,662,0.15,Baldacci et al. (2012)
OhlmannThomas,n150w160.001.txt,706,701.4,0.65,Baldacci et al. (2012)
OhlmannThomas,n150w160.002.txt,711,709.7,0.18,Baldacci et al. (2012)
OhlmannThomas,n150w160.003.txt,608,603.2,0.79,Baldacci et al. (2012)
OhlmannThomas,n150w160.004.txt,672,672,0.00,Baldacci et al. (2012)
OhlmannThomas,n150w160.005.txt,658,655,0.46,Baldacci et al. (2012)
OhlmannThomas,n200w120.001.txt,799,793.3,0.71,Baldacci et al. (2012)
OhlmannThomas,n200w120.002.txt,721,713.9,0.98,Baldacci et al. (2012)
OhlmannThomas,n200w120.003.txt,880,868.6,1.30,Baldacci et al. (2012)
OhlmannThomas,n200w120.004.txt,777,775.8,0.15,Baldacci et al. (2012)
OhlmannThomas,n200w120.005.txt,841,833.2,0.93,Baldacci et al. (2012)
OhlmannThomas,n200w140.001.txt,834,826.2,0.94,Baldacci et al. (2012)
OhlmannThomas,n200w140.002.txt,760,756.2,0.50,Baldacci et al. (2012)
OhlmannThomas,n200w140.003.txt,758,756,0.26,Baldacci et al. (2012)
OhlmannThomas,n200w140.004.txt,816,807.1,1.09,Baldacci et al. (2012)
OhlmannThomas,n200w140.005.txt,822,819.6,0.29,Baldacci et al. (2012)
SolomonPesant,rc201.0,628.62,*,*,Focacci et al. (2002)
SolomonPesant,rc201.1,654.7,*,*,Focacci et al. (2002)
SolomonPesant,rc201.2,707.65,*,*,Focacci et al. (2002)
SolomonPesant,rc201.3,422.54,*,*,Focacci et al. (2002)
SolomonPesant,rc202.0,496.22,*,*,Focacci et al. (2002)
SolomonPesant,rc202.1,426.53,*,*,Focacci et al. (2002)
SolomonPesant,rc202.2,611.77,*,*,Focacci et al. (2002)
SolomonPesant,rc202.3,627.85,*,*,Focacci et al. (2002)
SolomonPesant,rc203.0,727.45,726.22,0.17,Baldacci et al. (2012)
SolomonPesant,rc203.1,726.99,*,*,Rudich et al. (2023)
SolomonPesant,rc203.2,617.46,*,*,Baldacci et al. (2012)
SolomonPesant,rc204.0,541.45,*,*,Baldacci et al. (2012)
SolomonPesant,rc204.1,485.37,*,*,Baldacci et al. (2012)
SolomonPesant,rc204.2,778.4,*,*,Focacci et al. (2002)
SolomonPesant,rc205.0,511.65,*,*,Baldacci et al. (2012)
SolomonPesant,rc205.1,491.22,*,*,Baldacci et al. (2012)
SolomonPesant,rc205.2,714.69,*,*,Baldacci et al. (2012)
SolomonPesant,rc205.3,601.24,*,*,Baldacci et al. (2012)
SolomonPesant,rc206.0,835.23,*,*,Baldacci et al. (2012)
SolomonPesant,rc206.1,664.73,*,*,Baldacci et al. (2012)
SolomonPesant,rc206.2,655.37,*,*,Baldacci et al. (2012)
SolomonPesant,rc207.0,806.69,*,*,Baldacci et al. (2012)
SolomonPesant,rc207.1,726.36,*,*,Baldacci et al. (2012)
SolomonPesant,rc207.2,546.41,*,*,Baldacci et al. (2012)
SolomonPesant,rc208.0,820.56,*,*,Focacci et al. (2002)
SolomonPesant,rc208.1,509.04,*,*,Baldacci et al. (2012)
SolomonPesant,rc208.2,503.92,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_201.1.txt,444.54,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_201.2.txt,711.54,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_201.3.txt,790.61,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_201.4.txt,793.64,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_202.1.txt,771.78,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_202.2.txt,304.14,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_202.3.txt,837.72,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_202.4.txt,793.03,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_203.1.txt,453.48,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_203.2.txt,784.16,781.64,0.32,Baldacci et al. (2012)
SolomonPotvinBengio,rc_203.3.txt,817.53,810.46,0.86,Baldacci et al. (2012)
SolomonPotvinBengio,rc_203.4.txt,314.29,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_204.1.txt,878.64,872.62,0.69,Baldacci et al. (2012)
SolomonPotvinBengio,rc_204.2.txt,662.16,650.94,1.69,Baldacci et al. (2012)
SolomonPotvinBengio,rc_204.3.txt,455.03,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_205.1.txt,343.21,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_205.2.txt,755.93,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_205.3.txt,825.06,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_205.4.txt,760.47,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_206.1.txt,117.85,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_206.2.txt,828.06,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_206.3.txt,574.42,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_206.4.txt,831.67,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_207.1.txt,732.68,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_207.2.txt,701.25,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_207.3.txt,682.4,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_207.4.txt,119.64,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_208.1.txt,789.25,*,*,Rudich et al. (2023)
SolomonPotvinBengio,rc_208.2.txt,533.78,*,*,Baldacci et al. (2012)
SolomonPotvinBengio,rc_208.3.txt,634.44,622.48,1.89,Baldacci et al. (2012)
